@Target	Pos	demo.1_5	demo.1_6	demo.1_7	demo.1_8	demo.2_13	demo.2_19	demo.2_4	demo.2_5	
chr7H_part2	308294462	0	0	0	0	0	0	0	1	
chr7H_part2	308294463	0	0	0	0	0	0	0	1	
chr7H_part2	308294464	0	0	0	0	0	0	0	1	
chr7H_part2	308294465	0	0	0	0	0	0	0	1	
chr7H_part2	308294466	0	0	0	0	0	0	0	1	
chr7H_part2	308294467	0	0	0	0	0	0	0	1	
chr7H_part2	308294468	0	0	0	0	0	0	0	1	
chr7H_part2	308294469	0	0	0	0	0	0	0	1	
chr7H_part2	308294470	0	0	0	0	0	0	0	1	
chr7H_part2	308294471	0	0	0	0	0	0	0	1	
chr7H_part2	308294472	0	0	0	0	0	0	0	1	
chr7H_part2	308294473	0	0	0	0	0	0	0	1	
chr7H_part2	308294474	0	0	0	0	0	0	0	1	
chr7H_part2	308294475	0	0	0	0	0	0	0	1	
chr7H_part2	308294476	0	0	0	0	0	0	0	1	
chr7H_part2	308294477	0	0	0	0	0	0	0	1	
chr7H_part2	308294478	0	0	0	0	0	0	0	1	
chr7H_part2	308294479	0	0	0	0	0	0	0	1	
chr7H_part2	308295926	0	0	0	0	0	0	1	0	
chr7H_part2	308295927	0	0	0	0	0	0	1	0	
chr7H_part2	308296271	0	0	0	0	0	0	1	0	
chr7H_part2	308296272	0	0	0	0	0	0	1	0	
chr7H_part2	308296273	0	0	0	0	0	0	1	0	
chr7H_part2	308296274	0	0	0	0	0	0	1	0	
chr7H_part2	308296275	0	0	0	0	0	0	1	0	
chr7H_part2	308296276	0	0	0	0	0	0	1	0	
chr7H_part2	308296288	0	0	0	0	0	0	1	0	
chr7H_part2	308296289	0	0	0	0	0	0	1	0	
chr7H_part2	308296290	0	0	0	0	0	0	1	0	
chr7H_part2	308296291	0	0	0	0	0	0	1	0	
chr7H_part2	308296292	0	0	0	0	0	0	1	0	
chr7H_part2	308296293	0	0	0	0	0	0	1	0	
chr7H_part2	308296294	0	0	0	0	0	0	1	0	
chr7H_part2	308296295	0	0	0	0	0	0	1	0	
chr7H_part2	308296296	0	0	0	0	0	0	1	0	
chr7H_part2	308296297	0	0	0	0	0	0	1	0	
chr7H_part2	308296298	0	0	0	0	0	0	1	0	
chr7H_part2	308296299	0	0	0	0	0	0	1	0	
chr7H_part2	308296300	0	0	0	0	0	0	1	0	
chr7H_part2	308296301	0	0	0	0	0	0	1	0	
chr7H_part2	308298840	0	0	0	1	0	0	0	0	
chr7H_part2	308298841	0	0	0	1	0	0	0	0	
chr7H_part2	308298842	0	0	0	1	0	0	0	0	
chr7H_part2	308298843	1	0	0	1	0	0	0	0	
chr7H_part2	308298844	1	0	0	1	0	0	0	0	
chr7H_part2	308298845	1	0	0	1	0	0	0	0	
chr7H_part2	308298846	1	0	0	1	0	0	0	0	
chr7H_part2	308298847	1	0	0	1	0	0	0	0	
chr7H_part2	308298848	1	0	0	1	0	0	0	0	
chr7H_part2	308298849	1	0	0	1	0	0	0	1	
chr7H_part2	308298850	1	0	0	1	0	0	0	1	
chr7H_part2	308298851	1	0	0	1	0	0	0	1	
chr7H_part2	308298852	1	0	0	1	0	0	0	1	
chr7H_part2	308298853	1	0	0	1	0	0	0	1	
chr7H_part2	308298854	1	0	0	1	0	0	0	1	
chr7H_part2	308298855	1	0	0	1	0	0	0	1	
chr7H_part2	308298856	1	1	0	1	0	0	0	1	
chr7H_part2	308298857	1	1	0	1	0	0	0	1	
chr7H_part2	308298858	1	1	0	1	0	0	0	1	
chr7H_part2	308298859	1	1	0	1	0	0	0	1	
chr7H_part2	308298860	1	1	0	1	0	0	0	1	
chr7H_part2	308298861	1	1	1	1	0	0	0	1	
chr7H_part2	308298862	1	1	1	1	0	0	1	1	
chr7H_part2	308298863	1	1	1	1	0	0	1	1	
chr7H_part2	308298864	1	1	1	1	1	0	1	1	
chr7H_part2	308298865	1	1	1	1	1	0	1	1	
chr7H_part2	308298866	1	1	1	1	1	0	1	1	
chr7H_part2	308298867	1	1	1	1	1	0	1	1	
chr7H_part2	308298868	1	1	1	1	1	0	1	1	
chr7H_part2	308298869	1	1	1	1	1	0	1	1	
chr7H_part2	308298870	1	1	1	1	1	0	1	1	
chr7H_part2	308298871	1	1	1	1	1	0	1	1	
chr7H_part2	308298872	1	1	1	1	1	1	1	1	
chr7H_part2	308298873	1	1	1	1	1	1	1	1	
chr7H_part2	308298874	1	1	1	1	1	1	1	1	
chr7H_part2	308298875	1	1	1	1	1	1	1	1	
chr7H_part2	308298876	1	1	1	1	1	1	1	1	
chr7H_part2	308298877	1	1	1	1	1	1	1	1	
chr7H_part2	308298878	1	1	1	1	1	1	1	1	
chr7H_part2	308298879	1	1	1	1	1	1	1	1	
chr7H_part2	308298880	1	1	1	1	1	1	1	1	
chr7H_part2	308298881	1	1	1	1	1	1	1	1	
chr7H_part2	308298882	1	1	1	1	1	1	1	1	
chr7H_part2	308298883	1	1	1	1	1	1	1	1	
chr7H_part2	308298884	1	1	1	1	1	1	2	1	
chr7H_part2	308298885	1	1	1	1	1	1	2	1	
chr7H_part2	308298886	1	1	1	1	1	1	2	1	
chr7H_part2	308298887	1	1	1	1	1	1	2	1	
chr7H_part2	308298888	1	1	1	1	1	1	2	1	
chr7H_part2	308298889	1	1	1	1	1	1	2	1	
chr7H_part2	308298890	1	1	1	1	1	1	2	1	
chr7H_part2	308298891	1	1	1	1	1	1	2	1	
chr7H_part2	308298892	1	1	1	1	1	1	2	1	
chr7H_part2	308298893	1	1	1	1	1	1	2	1	
chr7H_part2	308298894	1	1	1	1	1	1	1	1	
chr7H_part2	308298895	1	1	1	1	1	1	1	1	
chr7H_part2	308298896	1	1	1	1	1	1	1	1	
chr7H_part2	308298897	1	1	1	1	1	1	1	1	
chr7H_part2	308298898	1	1	1	1	1	1	1	1	
chr7H_part2	308298899	1	1	1	1	1	1	1	1	
chr7H_part2	308298900	1	1	1	1	1	1	1	1	
chr7H_part2	308298901	1	1	1	1	1	1	1	1	
chr7H_part2	308298902	1	1	1	1	1	1	1	1	
chr7H_part2	308298903	1	1	1	1	1	1	1	1	
chr7H_part2	308298904	1	1	1	1	1	1	1	1	
chr7H_part2	308298905	1	1	1	1	1	1	1	1	
chr7H_part2	308298906	1	1	1	1	1	1	1	1	
chr7H_part2	308298907	1	1	1	1	1	1	1	1	
chr7H_part2	308298908	1	1	1	1	1	1	1	1	
chr7H_part2	308298909	1	1	1	1	1	1	1	1	
chr7H_part2	308298910	1	1	1	1	1	1	1	1	
chr7H_part2	308298911	1	1	1	1	1	1	1	1	
chr7H_part2	308298912	1	1	1	1	1	1	1	1	
chr7H_part2	308298913	1	1	1	1	1	1	1	1	
chr7H_part2	308298914	1	1	1	1	1	1	1	1	
chr7H_part2	308298915	1	1	1	1	1	1	1	1	
chr7H_part2	308298916	1	1	1	1	1	1	1	1	
chr7H_part2	308298917	1	1	1	1	1	1	1	1	
chr7H_part2	308298918	1	1	1	1	1	1	1	1	
chr7H_part2	308298919	1	1	1	1	1	1	1	1	
chr7H_part2	308298920	1	1	1	1	1	1	1	1	
chr7H_part2	308298921	1	1	1	1	1	1	1	1	
chr7H_part2	308298922	1	1	1	1	1	1	1	1	
chr7H_part2	308298923	1	1	1	1	1	1	1	1	
chr7H_part2	308298924	1	1	1	1	1	1	1	1	
chr7H_part2	308298925	1	1	1	1	1	1	1	1	
chr7H_part2	308298926	1	1	1	1	1	1	1	1	
chr7H_part2	308298927	1	1	1	1	1	1	1	1	
chr7H_part2	308298928	1	1	1	1	1	1	1	1	
chr7H_part2	308298929	1	1	1	1	1	1	1	1	
chr7H_part2	308298930	1	1	1	1	1	1	1	1	
chr7H_part2	308298931	1	1	1	1	1	1	1	1	
chr7H_part2	308298932	1	1	1	1	1	1	1	1	
chr7H_part2	308298933	1	1	1	1	1	1	1	1	
chr7H_part2	308298934	1	1	1	1	1	1	2	1	
chr7H_part2	308298935	1	1	1	1	1	1	1	1	
chr7H_part2	308298936	1	1	1	1	1	1	1	1	
chr7H_part2	308298937	1	1	1	1	1	1	1	1	
chr7H_part2	308298938	1	1	1	1	1	1	1	1	
chr7H_part2	308298939	1	1	1	1	1	1	1	1	
chr7H_part2	308298940	1	1	1	1	1	1	1	1	
chr7H_part2	308298941	1	1	1	1	1	1	1	1	
chr7H_part2	308298942	1	1	1	1	1	1	1	1	
chr7H_part2	308298943	1	1	1	1	1	1	1	1	
chr7H_part2	308298944	1	1	1	1	1	1	1	1	
chr7H_part2	308298945	1	1	1	1	1	1	1	1	
chr7H_part2	308298946	1	1	1	1	1	1	1	1	
chr7H_part2	308298947	1	1	1	1	1	1	1	1	
chr7H_part2	308298948	1	1	1	1	1	1	1	1	
chr7H_part2	308298949	1	1	1	1	1	1	1	1	
chr7H_part2	308298950	1	1	1	1	1	1	1	1	
chr7H_part2	308298951	1	1	1	1	1	1	1	1	
chr7H_part2	308298952	1	1	1	1	1	1	1	1	
chr7H_part2	308298953	1	1	1	1	1	1	1	1	
chr7H_part2	308298954	1	1	1	1	1	1	1	1	
chr7H_part2	308298955	1	1	1	1	1	1	1	1	
chr7H_part2	308298956	1	1	1	1	1	1	1	1	
chr7H_part2	308298957	1	1	1	1	1	1	1	1	
chr7H_part2	308298958	1	1	1	1	1	1	1	1	
chr7H_part2	308298959	1	1	1	1	1	1	1	1	
chr7H_part2	308298960	1	1	1	1	1	1	1	1	
chr7H_part2	308298961	1	1	1	1	1	1	1	1	
chr7H_part2	308298962	1	1	1	1	1	1	1	1	
chr7H_part2	308298963	1	1	1	1	1	1	1	1	
chr7H_part2	308298964	1	1	1	1	1	1	1	1	
chr7H_part2	308298965	1	1	1	1	1	1	1	1	
chr7H_part2	308298966	1	1	1	1	1	1	1	1	
chr7H_part2	308298967	1	1	1	1	1	1	1	1	
chr7H_part2	308298968	1	1	1	1	1	1	1	1	
chr7H_part2	308298969	1	1	1	1	1	1	1	1	
chr7H_part2	308298970	1	1	1	1	1	1	1	1	
chr7H_part2	308298971	1	1	1	1	1	1	1	1	
chr7H_part2	308298972	1	1	1	1	1	1	1	1	
chr7H_part2	308298973	1	1	1	1	1	1	1	1	
chr7H_part2	308298974	1	1	1	1	1	1	1	1	
chr7H_part2	308298975	1	1	1	1	1	1	1	1	
chr7H_part2	308298976	1	1	1	1	1	1	1	1	
chr7H_part2	308298977	1	1	1	1	1	1	1	1	
chr7H_part2	308298978	1	1	1	1	1	1	1	1	
chr7H_part2	308298979	1	1	1	1	1	1	1	1	
chr7H_part2	308298980	1	1	1	1	1	1	1	1	
chr7H_part2	308298981	1	1	1	1	1	1	1	1	
chr7H_part2	308298982	1	1	1	1	1	1	1	1	
chr7H_part2	308298983	1	1	1	1	1	1	1	1	
chr7H_part2	308298984	1	1	1	1	1	1	1	1	
chr7H_part2	308298985	1	1	1	1	1	1	1	1	
chr7H_part2	308298986	1	1	1	1	1	1	1	1	
chr7H_part2	308298987	1	1	1	1	1	1	1	1	
chr7H_part2	308298988	1	1	1	1	1	1	1	1	
chr7H_part2	308298989	1	1	1	1	1	1	1	1	
chr7H_part2	308298990	1	1	1	1	1	1	1	1	
chr7H_part2	308298991	1	1	1	1	1	1	1	1	
chr7H_part2	308298992	1	1	1	1	1	1	1	1	
chr7H_part2	308298993	1	1	1	1	1	0	1	1	
chr7H_part2	308298994	1	1	1	1	1	0	1	1	
chr7H_part2	308298995	1	1	1	1	1	0	1	1	
chr7H_part2	308298996	1	1	1	1	1	0	1	1	
chr7H_part2	308298997	1	1	1	1	1	0	1	1	
chr7H_part2	308298998	1	1	1	1	1	0	1	1	
chr7H_part2	308298999	1	1	1	1	1	0	1	1	
chr7H_part2	308299000	1	1	1	1	1	0	1	1	
chr7H_part2	308299001	1	1	1	1	1	0	1	1	
chr7H_part2	308299002	1	1	1	1	1	0	1	1	
chr7H_part2	308299003	1	1	1	1	1	0	1	1	
chr7H_part2	308299004	1	1	1	1	1	0	1	1	
chr7H_part2	308299005	1	1	1	1	1	0	1	1	
chr7H_part2	308299006	1	1	1	1	1	0	1	1	
chr7H_part2	308299007	1	1	1	1	1	0	1	1	
chr7H_part2	308299008	1	1	1	1	1	0	1	1	
chr7H_part2	308299009	1	1	1	1	1	0	1	1	
chr7H_part2	308299010	1	1	1	1	1	0	1	1	
chr7H_part2	308299011	1	1	1	1	0	0	1	1	
chr7H_part2	308299012	1	1	1	1	0	0	1	1	
chr7H_part2	308299013	1	1	1	1	0	0	1	1	
chr7H_part2	308299014	1	1	1	1	0	0	1	1	
chr7H_part2	308299015	1	1	1	1	1	0	1	1	
chr7H_part2	308299016	1	1	1	1	1	0	1	1	
chr7H_part2	308299017	1	1	1	1	1	0	1	1	
chr7H_part2	308299018	1	1	1	1	1	0	1	1	
chr7H_part2	308299019	1	1	1	1	1	0	1	1	
chr7H_part2	308299020	1	1	1	1	1	0	1	1	
chr7H_part2	308299021	1	1	1	1	1	1	1	1	
chr7H_part2	308299022	1	1	1	1	1	1	1	1	
chr7H_part2	308299023	1	1	1	1	1	1	1	1	
chr7H_part2	308299024	1	1	1	1	1	1	1	1	
chr7H_part2	308299025	1	1	1	0	1	1	1	1	
chr7H_part2	308299026	1	1	1	0	1	1	1	1	
chr7H_part2	308299027	1	1	1	0	1	1	1	1	
chr7H_part2	308299028	1	1	1	0	1	0	1	1	
chr7H_part2	308299029	1	1	1	0	1	0	1	1	
chr7H_part2	308299030	1	1	1	0	1	0	1	1	
chr7H_part2	308299031	1	1	1	0	1	0	1	1	
chr7H_part2	308299032	1	1	1	0	1	0	1	1	
chr7H_part2	308299033	1	1	1	0	1	1	0	1	
chr7H_part2	308299034	1	1	1	0	1	1	0	1	
chr7H_part2	308299035	1	1	1	0	1	0	0	1	
chr7H_part2	308299036	1	1	1	0	1	0	0	1	
chr7H_part2	308299037	0	1	1	0	1	0	0	1	
chr7H_part2	308299038	0	1	1	0	1	0	0	1	
chr7H_part2	308299039	0	1	1	0	1	0	0	1	
chr7H_part2	308299040	0	1	1	0	1	0	0	1	
chr7H_part2	308299041	0	1	1	0	1	0	0	1	
chr7H_part2	308299042	0	1	1	0	1	0	0	1	
chr7H_part2	308299043	0	0	1	0	1	0	0	1	
chr7H_part2	308299044	0	0	1	0	1	0	0	1	
chr7H_part2	308299045	0	0	1	0	0	0	0	1	
chr7H_part2	308299046	0	0	1	0	0	0	0	1	
chr7H_part2	308299047	0	0	1	0	0	0	0	1	
chr7H_part2	308299048	0	0	1	0	0	0	0	1	
chr7H_part2	308299049	0	0	1	0	0	0	0	1	
chr7H_part2	308299050	0	0	1	0	0	0	0	1	
chr7H_part2	308299051	0	0	1	0	0	0	0	1	
chr7H_part2	308299052	0	0	0	0	0	0	0	1	
chr7H_part2	308299053	0	0	0	0	0	0	0	1	
chr7H_part2	308299054	0	0	0	0	0	0	0	1	
chr7H_part2	308299055	0	0	0	0	0	0	0	1	
chr7H_part2	308299056	0	0	0	0	0	0	0	1	
chr7H_part2	308299057	0	0	0	0	0	0	0	1	
chr7H_part2	308299058	0	0	0	0	0	0	0	1	
chr7H_part2	308299059	0	0	0	0	0	0	0	1	
chr7H_part2	308299060	0	0	0	0	0	0	0	1	
chr7H_part2	308299061	0	0	0	0	0	0	0	1	
chr7H_part2	308299062	0	0	0	0	0	0	0	1	
chr7H_part2	308299063	0	0	0	0	0	0	0	1	
chr7H_part2	308299064	0	0	0	0	0	0	0	1	
chr7H_part2	308299065	0	0	0	0	0	0	0	1	
chr7H_part2	308299066	0	0	0	0	0	0	0	1	
chr7H_part2	308299067	0	0	0	0	0	0	0	1	
chr7H_part2	308299068	0	0	0	0	0	0	0	1	
chr7H_part2	308299069	0	0	0	0	0	0	0	1	
chr7H_part2	308299070	0	0	0	0	0	0	0	1	
chr7H_part2	308299071	0	0	0	0	0	0	0	1	
chr7H_part2	308299072	0	0	0	0	0	0	0	1	
chr7H_part2	308299073	0	0	0	0	0	0	0	1	
chr7H_part2	308299074	0	0	0	0	0	0	0	1	
chr7H_part2	308299088	0	0	1	0	0	0	0	0	
chr7H_part2	308299089	0	0	1	0	0	0	0	0	
chr7H_part2	308299090	0	0	1	0	0	0	0	0	
chr7H_part2	308299091	0	0	1	0	0	0	0	0	
chr7H_part2	308299092	0	0	1	0	0	0	0	0	
chr7H_part2	308299468	0	0	0	1	0	0	0	0	
chr7H_part2	308299469	0	0	0	1	0	0	0	0	
chr7H_part2	308299470	0	0	0	1	0	0	0	0	
chr7H_part2	308299477	1	0	0	1	0	0	0	0	
chr7H_part2	308299478	0	0	0	1	0	0	0	0	
chr7H_part2	308299479	0	0	0	1	0	0	0	0	
chr7H_part2	308299480	0	0	0	1	0	0	0	0	
chr7H_part2	308299481	0	0	0	1	0	0	0	0	
chr7H_part2	308299482	0	0	0	1	0	0	0	0	
chr7H_part2	308299483	0	0	0	1	0	0	0	0	
chr7H_part2	308299484	0	0	0	1	0	0	0	0	
chr7H_part2	308299485	0	0	0	1	0	0	0	0	
chr7H_part2	308299486	0	0	0	1	0	0	0	0	
chr7H_part2	308299487	0	0	0	1	0	0	0	0	
chr7H_part2	308299488	0	0	0	1	0	0	0	0	
chr7H_part2	308299489	0	0	0	1	0	0	0	0	
chr7H_part2	308299490	0	0	0	1	0	0	0	0	
chr7H_part2	308299491	0	0	0	1	0	0	0	0	
chr7H_part2	308299492	0	0	0	1	0	0	0	0	
chr7H_part2	308299493	0	0	0	1	0	0	0	0	
chr7H_part2	308299494	0	0	0	1	0	0	0	0	
chr7H_part2	308299495	0	0	0	1	0	0	0	0	
chr7H_part2	308299496	0	0	0	1	0	0	0	0	
chr7H_part2	308299497	0	0	0	1	0	0	0	0	
chr7H_part2	308299498	0	0	0	1	0	0	0	0	
chr7H_part2	308299499	0	0	0	1	0	0	0	0	
chr7H_part2	308299500	0	0	0	1	0	0	0	0	
chr7H_part2	308299501	0	0	0	1	0	0	0	0	
chr7H_part2	308299502	0	0	0	1	0	0	0	0	
chr7H_part2	308299503	0	0	0	1	0	0	0	0	
chr7H_part2	308299504	0	0	0	1	0	0	0	0	
chr7H_part2	308299505	0	0	0	1	0	0	0	0	
chr7H_part2	308299506	0	0	0	1	0	0	0	0	
chr7H_part2	308299507	0	0	0	1	0	0	0	0	
chr7H_part2	308299508	0	0	0	1	0	0	0	0	
chr7H_part2	308299509	0	0	0	1	0	0	0	0	
chr7H_part2	308299510	0	0	0	1	0	0	0	0	
chr7H_part2	308299511	0	0	0	1	0	0	0	0	
chr7H_part2	308299512	0	0	0	1	0	0	0	0	
chr7H_part2	308299513	0	0	0	1	0	0	0	0	
chr7H_part2	308299514	0	0	0	1	0	0	0	0	
chr7H_part2	308299556	1	0	0	0	0	0	0	0	
chr7H_part2	308299557	1	0	0	0	0	0	0	0	
chr7H_part2	308299558	1	0	0	0	0	0	0	0	
chr7H_part2	308299559	1	0	0	0	0	0	0	0	
chr7H_part2	308299560	1	0	0	0	0	0	0	0	
chr7H_part2	308299561	1	0	0	0	0	0	0	0	
chr7H_part2	308299562	1	0	0	0	0	0	0	0	
chr7H_part2	308299563	1	0	0	0	0	0	0	0	
chr7H_part2	308299564	1	0	0	0	0	0	0	0	
chr7H_part2	308299565	1	0	0	0	0	0	0	0	
chr7H_part2	308299566	1	0	0	0	0	0	0	0	
chr7H_part2	308299567	1	0	0	0	0	0	0	0	
chr7H_part2	308299568	1	0	0	0	0	0	0	0	
chr7H_part2	308299569	1	0	0	0	0	0	0	0	
chr7H_part2	308299570	1	0	0	0	0	0	0	0	
chr7H_part2	308299571	1	0	0	0	0	0	0	0	
chr7H_part2	308299572	1	0	0	0	0	0	0	0	
chr7H_part2	308299573	1	0	0	0	0	0	0	0	
chr7H_part2	308305642	0	0	1	0	0	0	0	0	
chr7H_part2	308305643	0	0	1	0	0	0	0	0	
chr7H_part2	308305644	0	0	1	0	0	0	0	0	
chr7H_part2	308305645	0	0	1	0	0	0	0	0	
chr7H_part2	308305646	0	0	1	0	0	0	0	0	
chr7H_part2	308305647	0	0	1	0	0	0	0	0	
chr7H_part2	308305648	0	0	1	0	0	0	0	0	
chr7H_part2	308305649	0	0	1	0	0	0	0	0	
chr7H_part2	308305650	0	0	1	0	0	0	0	0	
chr7H_part2	308305651	0	0	1	0	0	0	0	0	
chr7H_part2	308305652	0	0	1	0	0	0	0	0	
chr7H_part2	308305653	0	0	1	0	0	0	0	0	
chr7H_part2	308305654	0	0	1	0	0	0	0	0	
chr7H_part2	308305655	0	0	1	0	0	0	0	0	
chr7H_part2	308305656	0	0	1	0	0	0	0	0	
chr7H_part2	308305657	0	0	1	0	0	0	0	0	
chr7H_part2	308305658	0	0	1	0	0	0	0	0	
chr7H_part2	308305659	0	0	1	0	0	0	0	0	
chr7H_part2	308305660	0	0	1	0	0	0	0	0	
chr7H_part2	308305661	0	0	1	0	0	0	0	0	
chr7H_part2	308305662	0	0	1	0	0	0	0	0	
chr7H_part2	308305663	0	0	1	0	0	0	0	0	
chr7H_part2	308305664	0	0	1	0	0	0	0	0	
chr7H_part2	308305665	0	0	1	0	0	0	0	0	
chr7H_part2	308305666	0	0	1	0	0	0	0	0	
chr7H_part2	308305667	0	0	1	0	0	0	0	0	
chr7H_part2	308305668	0	0	1	0	0	0	0	0	
chr7H_part2	308306979	0	0	0	1	0	0	0	0	
chr7H_part2	308306980	0	0	0	1	0	0	0	0	
chr7H_part2	308306981	0	0	0	1	0	0	0	0	
chr7H_part2	308306982	0	0	0	1	0	0	0	0	
chr7H_part2	308306983	0	0	0	1	0	0	0	0	
chr7H_part2	308306984	0	0	0	1	0	0	0	0	
chr7H_part2	308306985	0	0	0	1	0	0	0	0	
chr7H_part2	308307071	0	1	0	0	0	0	0	0	
chr7H_part2	308307072	0	1	0	0	0	0	0	0	
chr7H_part2	308307073	0	1	0	0	0	0	0	0	
chr7H_part2	308307300	0	0	0	0	0	0	0	1	
chr7H_part2	308307301	0	0	0	0	0	0	0	1	
chr7H_part2	308307302	0	0	0	0	0	0	0	1	
chr7H_part2	308307303	0	0	0	0	0	0	0	1	
chr7H_part2	308307304	0	0	0	0	0	0	0	1	
chr7H_part2	308307305	0	0	0	0	0	0	0	1	
chr7H_part2	308307306	0	0	0	0	0	0	0	1	
chr7H_part2	308307307	0	0	0	0	0	0	0	1	
chr7H_part2	308307422	0	0	0	0	0	0	0	1	
chr7H_part2	308307423	0	0	0	0	0	0	0	1	
chr7H_part2	308307424	0	0	0	0	0	0	0	1	
chr7H_part2	308307425	0	0	0	0	0	0	0	1	
chr7H_part2	308307426	0	0	0	0	0	0	0	1	
chr7H_part2	308307427	0	0	0	0	0	0	0	1	
chr7H_part2	308307428	0	0	0	0	0	0	0	1	
chr7H_part2	308307429	0	0	0	0	0	0	0	1	
chr7H_part2	308307430	0	0	0	0	0	0	0	1	
chr7H_part2	308307431	0	0	0	0	0	0	0	1	
chr7H_part2	308307432	0	0	0	0	0	0	0	1	
chr7H_part2	308307433	0	0	0	0	0	0	0	1	
chr7H_part2	308309863	0	0	0	0	0	1	0	0	
chr7H_part2	308309864	0	0	0	0	0	1	0	0	
chr7H_part2	308309865	0	0	0	0	0	1	0	0	
chr7H_part2	308309866	0	0	0	0	0	1	0	0	
chr7H_part2	308309867	0	0	0	0	0	1	0	0	
chr7H_part2	308309868	0	0	0	0	0	1	0	0	
chr7H_part2	308309869	0	0	0	0	0	1	0	0	
chr7H_part2	308309870	0	0	0	0	0	1	0	0	
chr7H_part2	308309871	0	0	0	0	0	1	0	0	
chr7H_part2	308309872	0	0	0	0	0	1	0	0	
chr7H_part2	308309873	0	0	0	0	0	1	0	0	
chr7H_part2	308309874	0	0	0	0	0	1	0	0	
chr7H_part2	308309875	0	0	0	0	0	1	0	0	
chr7H_part2	308309876	0	0	0	0	0	1	0	0	
chr7H_part2	308309877	0	0	0	0	0	1	0	0	
chr7H_part2	308310627	0	0	1	0	0	0	0	0	
chr7H_part2	308310628	0	0	1	0	0	0	0	0	
chr7H_part2	308310629	0	0	1	0	0	0	0	0	
chr7H_part2	308310630	0	0	1	0	0	0	0	0	
chr7H_part2	308310631	0	0	1	0	0	0	0	0	
chr7H_part2	308310632	0	0	1	0	0	0	0	0	
chr7H_part2	308310633	0	0	1	0	0	0	0	0	
chr7H_part2	308310634	0	0	1	0	0	0	0	0	
chr7H_part2	308310635	0	0	1	0	0	0	0	0	
chr7H_part2	308310636	0	0	1	0	0	0	0	0	
chr7H_part2	308310637	0	0	1	0	0	0	0	0	
chr7H_part2	308310638	0	0	1	0	0	0	0	0	
chr7H_part2	308310639	0	0	1	0	0	0	0	0	
chr7H_part2	308310640	0	0	1	0	0	0	0	0	
chr7H_part2	308310641	0	0	1	0	0	0	0	0	
chr7H_part2	308310642	0	0	1	0	0	0	0	0	
chr7H_part2	308310643	0	0	1	0	0	0	0	0	
chr7H_part2	308310644	0	0	1	0	0	0	0	0	
chr7H_part2	308310645	0	0	1	0	0	0	0	0	
chr7H_part2	308310646	0	0	1	0	0	0	0	0	
chr7H_part2	308310647	0	0	1	0	0	0	0	0	
chr7H_part2	308310648	0	0	1	0	0	0	0	0	
chr7H_part2	308310649	0	0	1	0	0	0	0	0	
chr7H_part2	308310650	0	0	1	0	0	0	0	0	
chr7H_part2	308310651	0	0	1	0	0	0	0	0	
chr7H_part2	308310652	0	0	1	0	0	0	0	0	
chr7H_part2	308310653	0	0	1	0	0	0	0	0	
chr7H_part2	308310654	0	0	1	0	0	0	0	0	
chr7H_part2	308310655	0	0	1	0	0	0	0	0	
chr7H_part2	308310656	0	0	1	0	0	0	0	0	
chr7H_part2	308310657	0	0	1	0	0	0	0	0	
chr7H_part2	308310658	0	0	1	0	0	0	0	0	
chr7H_part2	308310659	0	0	1	0	0	0	0	0	
chr7H_part2	308310660	0	0	1	0	0	0	0	0	
chr7H_part2	308310661	0	0	1	0	0	0	0	0	
chr7H_part2	308310662	0	0	1	0	0	0	0	0	
chr7H_part2	308310663	0	0	1	0	0	0	0	0	
chr7H_part2	308310664	0	0	1	0	0	0	0	0	
chr7H_part2	308310665	0	0	1	0	0	0	0	0	
chr7H_part2	308310666	0	0	1	0	0	0	0	0	
chr7H_part2	308310667	0	0	1	0	0	0	0	0	
chr7H_part2	308310668	0	0	1	0	0	0	0	0	
chr7H_part2	308310669	0	0	1	0	0	0	0	0	
chr7H_part2	308310670	0	0	1	0	0	0	0	0	
chr7H_part2	308310671	0	0	1	0	0	0	0	0	
chr7H_part2	308310672	0	0	1	0	0	0	0	0	
chr7H_part2	308310673	0	0	1	0	0	0	0	0	
chr7H_part2	308310689	0	0	1	0	0	0	0	0	
chr7H_part2	308310701	0	0	1	0	0	0	0	0	
chr7H_part2	308310702	0	0	1	0	0	0	0	0	
chr7H_part2	308310703	0	0	1	0	0	0	0	0	
chr7H_part2	308310704	0	0	1	0	0	0	0	0	
chr7H_part2	308310705	0	0	1	0	0	0	0	0	
chr7H_part2	308310706	0	0	1	0	0	0	0	0	
chr7H_part2	308310707	0	0	1	0	0	0	0	0	
chr7H_part2	308310708	0	0	1	0	0	0	0	0	
chr7H_part2	308310709	0	0	1	0	0	0	0	0	
chr7H_part2	308310710	0	0	1	0	0	0	0	0	
chr7H_part2	308310721	0	0	1	0	0	0	0	0	
chr7H_part2	308310722	0	0	1	0	0	0	0	0	
chr7H_part2	308310723	0	0	1	0	0	0	0	0	
chr7H_part2	308310724	0	0	1	0	0	0	0	0	
chr7H_part2	308310725	0	0	1	0	0	0	0	0	
chr7H_part2	308310726	0	0	1	0	0	0	0	0	
chr7H_part2	308310727	0	0	1	0	0	0	0	0	
chr7H_part2	308310728	0	0	1	0	0	0	0	0	
